f1,f2,f3,f4,f5,target
0.3568,0.8612,0.2594,0.6834,0.0242,1
0.4936,0.9272,0.3743,0.4390,0.1955,0
0.4744,0.5503,0.0146,0.3304,0.2940,1
0.2555,0.6762,0.9245,0.9493,0.8137,1
0.9960,0.0959,0.1191,0.3335,0.3949,1
0.7229,0.0244,0.2493,0.1125,0.4230,0
0.4364,0.4018,0.3146,0.0438,0.0478,0
0.9866,0.7909,0.5014,0.1413,0.6767,1
0.6925,0.5462,0.2206,0.8882,0.1642,1
0.0844,0.9007,0.5501,0.7913,0.9922,1
0.6304,0.4253,0.8934,0.0519,0.6821,0
0.0751,0.9102,0.8213,0.9880,0.0650,0
0.5026,0.4119,0.1467,0.5754,0.0034,1
0.3008,0.6281,0.6709,0.4531,0.4160,0
0.6366,0.3864,0.8352,0.3971,0.5773,1
0.9882,0.0872,0.5299,0.1802,0.9380,0
0.0015,0.5782,0.7759,0.6041,0.0923,0
0.9703,0.7617,0.8152,0.0810,0.1933,0
0.5650,0.7559,0.7992,0.1473,0.9164,0
0.7334,0.7013,0.4022,0.4897,0.2356,1
0.1794,0.4376,0.8113,0.0999,0.4853,0
0.0412,0.7141,0.1133,0.2701,0.5686,0
0.7626,0.6935,0.6792,0.4484,0.8557,1
0.7171,0.8545,0.4418,0.0130,0.2705,0
0.0047,0.1733,0.8421,0.4100,0.2005,0
0.7547,0.5562,0.3167,0.6880,0.6388,1
0.4521,0.3893,0.8275,0.3658,0.1361,0
0.8106,0.5981,0.1282,0.2901,0.1534,1
0.7649,0.8268,0.6574,0.1525,0.9316,0
0.4628,0.0132,0.7554,0.3200,0.2997,0
0.1729,0.1011,0.1314,0.9993,0.2972,1
0.8764,0.7466,0.1500,0.4291,0.4221,1
0.3164,0.3598,0.9753,0.4040,0.9619,0
0.4102,0.5108,0.0813,0.5442,0.2370,1
0.4966,0.4395,0.8394,0.4558,0.8938,0
0.6260,0.9841,0.9767,0.0355,0.2927,0
0.5861,0.0217,0.5804,0.6218,0.0137,0
0.9700,0.9272,0.6000,0.9517,0.8859,1
0.1243,0.2554,0.0720,0.7241,0.6747,1
0.3431,0.9072,0.3169,0.9745,0.5257,1
0.2799,0.8651,0.7369,0.5537,0.5885,0
0.8996,0.3524,0.7988,0.3543,0.2482,0
0.0862,0.3770,0.8240,0.7094,0.2665,0
0.8202,0.5677,0.0357,0.9288,0.1326,1
0.8406,0.4497,0.9060,0.4393,0.0241,0
0.6948,0.7208,0.8848,0.7941,0.3933,1
0.1156,0.1129,0.4540,0.0331,0.0344,0
0.5463,0.9982,0.5606,0.9114,0.8870,1
0.9963,0.4203,0.9640,0.5212,0.9058,1
0.6637,0.3783,0.8901,0.2139,0.6344,0
0.7256,0.4609,0.9777,0.9125,0.2971,1
0.3499,0.1919,0.8405,0.1617,0.8690,0
0.7742,0.0773,0.2918,0.9844,0.0767,1
0.5872,0.9880,0.7508,0.2911,0.2636,1
0.8981,0.4932,0.6659,0.0730,0.3243,0
0.6796,0.3414,0.8688,0.0235,0.0420,0
0.4153,0.3337,0.8159,0.0693,0.4055,0
0.2042,0.0086,0.0704,0.4678,0.2465,0
0.2020,0.8167,0.3989,0.4133,0.9887,0
0.2540,0.7452,0.4404,0.7154,0.5554,1
0.6116,0.3986,0.2985,0.8352,0.5563,1
0.5346,0.1863,0.0867,0.1699,0.4582,0
0.7173,0.6392,0.9512,0.2977,0.1900,0
0.1186,0.4232,0.7794,0.3300,0.4605,0
0.5617,0.8497,0.8457,0.9522,0.2945,1
0.6816,0.6944,0.9082,0.9970,0.0314,1
0.1395,0.7153,0.7496,0.7847,0.3512,0
0.6689,0.2832,0.3809,0.6340,0.4278,1
0.6468,0.0872,0.6921,0.4623,0.5045,0
0.1032,0.4704,0.5396,0.6076,0.1418,0
0.8126,0.2037,0.2471,0.3271,0.2339,1
0.1370,0.9390,0.4968,0.2218,0.6586,0
0.3227,0.8071,0.5003,0.1668,0.8279,0
0.6791,0.0674,0.7400,0.4287,0.7875,1
0.6244,0.6862,0.5658,0.7646,0.8008,1
0.5946,0.8250,0.8228,0.9569,0.8419,1
0.2585,0.6956,0.9237,0.7208,0.0817,0
0.3378,0.3132,0.7561,0.4982,0.6799,0
0.1717,0.7063,0.0626,0.1608,0.2868,0
0.4542,0.5490,0.0201,0.2743,0.8702,1
0.3314,0.4598,0.9200,0.8507,0.3591,1
0.5977,0.2460,0.3652,0.2932,0.5232,1
0.2552,0.4258,0.7947,0.5566,0.8046,1
0.0376,0.5806,0.4751,0.7667,0.4339,0
0.8140,0.6982,0.1729,0.1998,0.6690,1
0.9023,0.9029,0.1758,0.4450,0.2637,1
0.5545,0.7679,0.2011,0.1930,0.6057,1
0.4500,0.4438,0.1539,0.8360,0.3953,1
0.3933,0.4733,0.7838,0.9868,0.9205,1
0.2720,0.2224,0.5598,0.9726,0.2569,1
0.8426,0.3611,0.1848,0.8304,0.0672,1
0.8467,0.2816,0.7589,0.2497,0.9307,1
0.4559,0.1497,0.2360,0.3402,0.4301,0
0.9289,0.9885,0.7519,0.2485,0.2370,1
0.0553,0.0949,0.7899,0.1800,0.4699,0
0.1731,0.7346,0.4477,0.0317,0.6317,0
0.4692,0.5969,0.6221,0.9709,0.1224,1
0.8919,0.7706,0.7010,0.6866,0.2559,1
0.2868,0.8139,0.8806,0.2010,0.6025,0
0.8092,0.9177,0.0390,0.7491,0.0013,1
0.3989,0.9316,0.6652,0.1621,0.3799,0
0.2731,0.5355,0.3746,0.3799,0.3248,1
0.7320,0.6691,0.4137,0.0728,0.2541,0
0.7302,0.3681,0.4666,0.0864,0.4589,0
0.4593,0.1051,0.5946,0.2492,0.5240,0
0.3916,0.9006,0.0708,0.6916,0.2920,1
0.8943,0.5841,0.1573,0.3651,0.0984,1
0.1911,0.4596,0.8932,0.6993,0.5051,0
0.1849,0.5038,0.5552,0.7346,0.7213,0
0.3711,0.7067,0.1602,0.3783,0.6812,0
0.6391,0.9447,0.4993,0.0337,0.2703,0
0.8779,0.7194,0.2852,0.8624,0.9540,1
0.9535,0.5110,0.2953,0.3223,0.1378,1
0.9460,0.4813,0.9152,0.1799,0.0448,0
0.2281,0.8401,0.8265,0.3635,0.6716,0
0.6944,0.5673,0.4296,0.2142,0.8561,0
0.5732,0.0745,0.0300,0.2753,0.1171,0
0.4149,0.6187,0.3109,0.8917,0.1736,1
0.7667,0.0320,0.4950,0.5430,0.1596,1
0.9290,0.2536,0.6708,0.2683,0.4758,0
0.4074,0.8563,0.1476,0.4625,0.1612,1
0.7357,0.6866,0.4808,0.5293,0.6540,1
0.7350,0.3411,0.5047,0.1418,0.3608,1
0.6661,0.1757,0.3197,0.5248,0.4788,1
0.9222,0.9900,0.5309,0.5831,0.1544,1
0.3346,0.8750,0.1377,0.1828,0.8014,0
0.3805,0.2101,0.4189,0.1768,0.1863,0
0.2454,0.7045,0.0478,0.7149,0.2374,1
0.3635,0.2230,0.7347,0.3215,0.9869,0
0.8356,0.6732,0.4601,0.8714,0.8385,1
0.8308,0.7867,0.8746,0.6245,0.2979,1
0.8252,0.3327,0.6870,0.3480,0.3184,1
0.2699,0.7630,0.4027,0.4673,0.5597,0
0.1652,0.3116,0.0202,0.9893,0.8501,1
0.8713,0.2631,0.1126,0.8494,0.8001,1
0.9239,0.6058,0.6649,0.8397,0.4837,1
0.5441,0.1986,0.8810,0.4515,0.0952,0
0.5633,0.3681,0.4176,0.0007,0.8381,0
0.3288,0.4671,0.7124,0.0085,0.1568,0
0.2768,0.1533,0.8673,0.8297,0.2542,1
0.2039,0.4795,0.7722,0.1296,0.8677,0
0.9264,0.6769,0.2889,0.6490,0.7747,1
0.6612,0.9750,0.8327,0.7424,0.4542,1
0.1894,0.9893,0.7508,0.3154,0.3114,0
0.9896,0.5871,0.4832,0.2773,0.6513,1
0.9852,0.8170,0.1446,0.7529,0.2248,1
0.1970,0.8457,0.4340,0.9428,0.2737,1
0.8960,0.0018,0.1058,0.8627,0.2376,1
0.1418,0.8828,0.1891,0.6842,0.4506,1
0.8936,0.2673,0.3367,0.5641,0.4286,1
0.5797,0.6109,0.6804,0.1835,0.5908,0
0.3954,0.9826,0.9954,0.8235,0.8786,1
0.1905,0.0385,0.3580,0.2339,0.2380,0
0.9692,0.5005,0.9109,0.8174,0.0788,1
0.5527,0.6830,0.8923,0.8515,0.3524,1
0.7881,0.7771,0.2538,0.4134,0.5943,1
0.9771,0.2051,0.0905,0.7702,0.1525,1
0.7596,0.5803,0.0525,0.5919,0.5899,1
0.4033,0.0401,0.3980,0.8269,0.7206,1
0.2862,0.4805,0.2538,0.8228,0.3744,1
0.8965,0.4652,0.3553,0.4343,0.2787,1
0.2401,0.5982,0.6406,0.7026,0.0296,0
0.5343,0.9602,0.2863,0.9825,0.0076,1
0.1479,0.8157,0.2308,0.0736,0.5752,0
0.0806,0.0007,0.9822,0.3559,0.6754,0
0.3539,0.4444,0.9490,0.2150,0.2706,0
0.3242,0.8354,0.1881,0.0925,0.0271,0
0.2404,0.0624,0.2717,0.1294,0.1150,0
0.9958,0.5815,0.8277,0.7567,0.8901,1
0.6128,0.6333,0.2065,0.6796,0.5739,1
0.2966,0.8312,0.6281,0.9317,0.9173,1
0.9947,0.2114,0.1829,0.8158,0.2652,1
0.5503,0.6109,0.8964,0.0408,0.8519,0
0.4768,0.1683,0.8699,0.9559,0.8924,1
0.3806,0.2070,0.7675,0.4627,0.8288,0
0.2193,0.2599,0.5949,0.4819,0.6139,0
0.0363,0.7950,0.5273,0.8653,0.1032,1
0.4989,0.3996,0.5272,0.5908,0.4105,1
0.9597,0.5254,0.8674,0.8256,0.9769,1
0.0673,0.2943,0.5136,0.7776,0.0212,0
0.0337,0.1856,0.3716,0.2545,0.5395,0
0.7548,0.2503,0.8012,0.1853,0.1840,0
0.2011,0.8582,0.0754,0.3678,0.6036,0
0.1674,0.2755,0.2814,0.9515,0.3651,1
0.0167,0.3009,0.7187,0.0281,0.1122,0
0.7210,0.2849,0.8627,0.1020,0.7236,0
0.8424,0.5757,0.1405,0.9773,0.9763,1
0.6004,0.2205,0.0620,0.4821,0.5396,1
0.7197,0.6042,0.3793,0.9042,0.2349,1
0.4407,0.0926,0.5389,0.6363,0.7913,1
0.3850,0.1905,0.1551,0.6441,0.0105,0
0.4931,0.3246,0.7289,0.6599,0.7686,1
0.1120,0.1234,0.2497,0.3654,0.2487,0
0.9254,0.4648,0.9962,0.1879,0.8237,0
0.1210,0.1443,0.7034,0.9576,0.7268,0
0.4966,0.8786,0.0863,0.6307,0.6947,1
0.6186,0.8867,0.8182,0.5525,0.3173,1
0.6144,0.9884,0.1283,0.7719,0.9912,1
0.3826,0.7778,0.3263,0.7264,0.2161,1
0.9345,0.5893,0.8669,0.9036,0.9767,1
0.5878,0.6411,0.2707,0.7162,0.6106,1
0.3994,0.5102,0.8514,0.4592,0.0905,0
0.0181,0.3410,0.5141,0.5804,0.6498,0
0.1425,0.1002,0.3245,0.3104,0.8531,0
0.1539,0.5474,0.7380,0.0966,0.9947,0
0.8228,0.2046,0.4188,0.7984,0.1750,1
0.0139,0.0311,0.9703,0.4037,0.3471,0
0.2782,0.3233,0.5350,0.4821,0.1504,0
0.4341,0.1713,0.7116,0.9653,0.7619,1
0.2377,0.8345,0.7406,0.1004,0.6324,0
0.7058,0.8125,0.3611,0.2971,0.8188,1
0.0979,0.8665,0.3917,0.5917,0.0697,1
0.4205,0.3600,0.6382,0.9953,0.8970,1
0.7102,0.7506,0.3940,0.3254,0.2046,1
0.1020,0.0280,0.6041,0.8875,0.0691,0
0.1065,0.9683,0.1003,0.6764,0.2152,1
0.1713,0.5375,0.7670,0.2209,0.2646,0
0.2442,0.8032,0.3375,0.5933,0.3108,1
0.7893,0.0326,0.5986,0.6386,0.4912,1
0.4180,0.9786,0.4282,0.5041,0.9667,1
0.8913,0.5012,0.1836,0.3197,0.2393,1
0.7270,0.6848,0.8582,0.6721,0.3861,1
0.5591,0.7889,0.1961,0.7849,0.5491,1
0.9911,0.9331,0.3366,0.5823,0.2589,1
0.5355,0.6068,0.7342,0.2556,0.9246,0
0.0126,0.4361,0.6306,0.5394,0.6030,0
0.2326,0.6232,0.4876,0.2757,0.7834,0
0.8194,0.3715,0.8951,0.9689,0.2553,1
0.7704,0.2365,0.0463,0.8702,0.6547,1
0.3016,0.9529,0.0914,0.5493,0.3045,1
0.5286,0.4329,0.8918,0.4649,0.4680,0
0.5118,0.4958,0.4459,0.7484,0.9666,1
0.6015,0.8879,0.0259,0.8069,0.0848,1
0.3973,0.4916,0.8822,0.6428,0.6589,1
0.9021,0.1197,0.5173,0.5301,0.5972,1
0.7129,0.8670,0.8718,0.6433,0.7750,1
0.7972,0.1143,0.6375,0.2287,0.5635,0
0.2015,0.4923,0.4737,0.6976,0.6729,1
0.4899,0.5884,0.0318,0.6119,0.6613,1
0.3328,0.7937,0.8048,0.6415,0.7298,1
0.8308,0.0665,0.9223,0.3144,0.6261,0
0.0420,0.1087,0.6974,0.7339,0.7170,0
0.0913,0.7962,0.0371,0.7860,0.0316,1
0.6429,0.5226,0.8139,0.2548,0.2602,0
0.9150,0.3349,0.5394,0.8091,0.2216,1
0.7379,0.0279,0.1257,0.1801,0.6093,0
0.7979,0.7003,0.7168,0.9618,0.9419,1
0.4657,0.5995,0.6721,0.5574,0.3125,0
0.2938,0.2050,0.3446,0.9396,0.9425,1
0.8833,0.5563,0.2806,0.9959,0.0373,1
0.5751,0.1231,0.5713,0.5870,0.5061,1
0.8190,0.3014,0.8089,0.0829,0.9533,0
0.7778,0.7502,0.9778,0.5264,0.9889,1
0.4855,0.8542,0.9648,0.8889,0.5533,1
0.3655,0.1560,0.1382,0.6977,0.0962,1
0.5703,0.3713,0.4798,0.0327,0.7383,0
0.3739,0.6068,0.3582,0.7602,0.5343,1
0.2194,0.8047,0.1757,0.6066,0.9941,1
0.9308,0.2347,0.4806,0.3083,0.5666,0
0.3521,0.9055,0.5390,0.4142,0.9473,1
0.4594,0.5572,0.7504,0.6741,0.0871,0
0.2959,0.2524,0.8121,0.0256,0.2375,0
0.2264,0.0073,0.9994,0.6890,0.8880,0
0.7401,0.5391,0.7390,0.8234,0.9875,1
0.8877,0.3433,0.5822,0.4904,0.3463,0
0.2779,0.9545,0.4665,0.9772,0.6187,1
0.6694,0.8859,0.7318,0.4312,0.2445,1
0.4196,0.0382,0.1737,0.0545,0.0942,0
0.0656,0.2533,0.3584,0.7360,0.6021,0
0.1800,0.5612,0.9879,0.9612,0.2152,0
0.3167,0.1018,0.2818,0.6602,0.7064,0
0.1230,0.5621,0.1646,0.4227,0.9541,1
0.2109,0.1711,0.2380,0.8568,0.4743,1
0.3634,0.8066,0.5677,0.9179,0.4837,1
0.0662,0.0015,0.8332,0.5540,0.5106,0
0.6806,0.6693,0.2993,0.2123,0.1116,0
0.7589,0.3520,0.5307,0.7172,0.8591,1
0.1363,0.7080,0.6630,0.2788,0.7559,0
0.1797,0.1596,0.1107,0.7407,0.6775,0
0.3563,0.5773,0.3991,0.8525,0.3829,1
0.8233,0.5065,0.7856,0.2397,0.4916,0
0.6140,0.6986,0.9903,0.0813,0.1448,0
0.1985,0.1702,0.9670,0.0761,0.7207,0
0.5201,0.5705,0.9925,0.5061,0.4515,0
0.7552,0.9977,0.3798,0.8413,0.7927,1
0.3990,0.1525,0.7724,0.6115,0.8180,1
0.7437,0.2008,0.8893,0.1979,0.0300,0
0.7649,0.7551,0.6946,0.9175,0.3707,1
0.0692,0.3726,0.8641,0.1313,0.6113,0
0.2000,0.0744,0.0912,0.7001,0.5990,1
0.7910,0.9632,0.3703,0.5831,0.5383,1
0.5040,0.5587,0.1258,0.7842,0.7132,1
0.4193,0.9734,0.0350,0.0497,0.2976,0
0.4632,0.3496,0.9263,0.8708,0.3732,1
0.8736,0.0373,0.2555,0.4817,0.7726,1
0.9859,0.1648,0.8782,0.7561,0.9786,1
0.2115,0.1044,0.4073,0.9051,0.0309,0
0.1799,0.5377,0.4964,0.3056,0.5044,0
0.0884,0.7681,0.0918,0.4042,0.5985,0
0.6283,0.0963,0.2040,0.8519,0.9474,1
0.1451,0.2821,0.6860,0.2814,0.2268,0
0.2594,0.9962,0.4072,0.1234,0.3358,0
0.9354,0.9009,0.7329,0.0613,0.6239,1
0.9249,0.3026,0.7402,0.0513,0.7201,0
0.1710,0.1059,0.1930,0.2855,0.5300,0
0.5629,0.5870,0.0902,0.5586,0.5384,1
0.1696,0.4858,0.4028,0.9364,0.4557,1
0.7717,0.8697,0.5574,0.9761,0.7920,1
0.7941,0.0298,0.3698,0.5429,0.2313,1
0.3277,0.1799,0.6456,0.0953,0.9527,0
0.2070,0.0422,0.3112,0.8997,0.3177,1
0.6954,0.8759,0.8512,0.8713,0.8178,1
0.2326,0.0988,0.7112,0.5978,0.0495,0
0.3055,0.7746,0.3812,0.5062,0.6490,1
0.7632,0.8875,0.1508,0.8591,0.3219,1
0.9632,0.5844,0.6085,0.1284,0.9659,1
0.8690,0.5227,0.0943,0.8308,0.9755,1
0.3404,0.7188,0.8805,0.9639,0.4290,1
0.3675,0.5845,0.1550,0.5235,0.4308,1
0.6891,0.9240,0.1493,0.1325,0.2425,1
0.4968,0.9812,0.2206,0.0830,0.7052,1
0.0381,0.2400,0.2058,0.3852,0.8511,0
0.9200,0.1381,0.6414,0.3985,0.5390,1
0.0588,0.9858,0.1783,0.2194,0.9143,0
0.1727,0.1917,0.9287,0.2457,0.1119,0
0.2401,0.8408,0.9941,0.8008,0.4048,0
0.1302,0.3443,0.9250,0.8001,0.5875,1
0.0332,0.3444,0.8799,0.4725,0.5551,0
0.4099,0.8208,0.6619,0.2385,0.9512,0
0.0684,0.1484,0.3862,0.7378,0.8602,0
0.6237,0.8808,0.9039,0.6090,0.9471,1
0.4557,0.6166,0.4679,0.0328,0.4568,0
0.6820,0.0177,0.5838,0.5268,0.2060,0
0.5305,0.6804,0.3297,0.3230,0.7421,0
0.3261,0.2822,0.6504,0.9908,0.5162,1
0.3247,0.3172,0.0353,0.2347,0.5824,0
0.6726,0.0980,0.3580,0.8724,0.7226,1
0.1340,0.9770,0.3562,0.0493,0.0434,0
0.2327,0.7303,0.9243,0.8920,0.2900,1
0.0833,0.3131,0.1744,0.5175,0.8801,1
0.1034,0.2547,0.1789,0.2057,0.7002,0
0.6114,0.2321,0.5038,0.6561,0.2738,1
0.7201,0.5493,0.6582,0.0244,0.4262,0
0.0589,0.6017,0.3998,0.5638,0.7603,1
0.3816,0.1844,0.8710,0.9303,0.8085,1
0.5342,0.7774,0.1984,0.6664,0.0044,1
0.4319,0.0301,0.8485,0.7479,0.5467,0
0.9614,0.4449,0.4958,0.3160,0.9378,1
0.5942,0.7447,0.0164,0.9902,0.1160,1
0.8265,0.2014,0.5631,0.3822,0.3126,1
0.5930,0.3262,0.9301,0.0835,0.4832,0
0.7003,0.3854,0.5416,0.1974,0.3375,0
0.3390,0.7695,0.0472,0.0149,0.3833,0
0.2124,0.9919,0.2556,0.5919,0.8095,1
0.0944,0.2576,0.5820,0.4768,0.9631,0
0.8713,0.4890,0.3222,0.3609,0.8951,1
0.0977,0.3495,0.7594,0.0501,0.7708,0
0.4191,0.0444,0.7182,0.3622,0.3200,0
0.7781,0.3503,0.8234,0.3470,0.9549,1
0.4115,0.1543,0.4914,0.2679,0.6359,0
0.6527,0.6568,0.4376,0.0230,0.1873,0
0.5556,0.0895,0.9366,0.9378,0.6891,1
0.0630,0.9885,0.8230,0.4861,0.9726,0
0.4626,0.0303,0.5019,0.3646,0.6728,0
0.1861,0.8201,0.6424,0.5503,0.3415,1
0.6612,0.0978,0.9272,0.5657,0.4800,0
0.9566,0.2922,0.8159,0.0113,0.7884,0
0.7899,0.5112,0.7094,0.2093,0.8272,0
0.9976,0.4808,0.2145,0.7044,0.4663,1
0.5872,0.7980,0.4575,0.4643,0.2206,1
0.4394,0.0374,0.8119,0.3362,0.1628,0
0.1324,0.4628,0.6812,0.6534,0.7805,0
0.0375,0.5600,0.0413,0.3834,0.1216,0
0.2689,0.2905,0.1531,0.5536,0.9700,1
0.2839,0.2292,0.0318,0.9746,0.0866,1
0.7751,0.1078,0.0742,0.7611,0.0567,1
0.5500,0.1719,0.2646,0.3536,0.3798,0
0.3316,0.9689,0.9644,0.3156,0.9400,0
0.1207,0.4707,0.7494,0.7422,0.6674,0
0.3770,0.0122,0.2068,0.4161,0.6875,0
0.2732,0.9087,0.1113,0.9989,0.0623,1
0.0355,0.8878,0.9948,0.3573,0.4596,0
0.3274,0.6920,0.3233,0.7089,0.5297,1
0.1417,0.1332,0.9552,0.9698,0.7775,0
0.2970,0.5400,0.7263,0.9834,0.7913,1
0.2936,0.4960,0.5284,0.6150,0.2810,1
0.5769,0.1921,0.8791,0.3116,0.3171,0
0.9256,0.8872,0.0823,0.6406,0.5238,1
0.4327,0.1133,0.2707,0.5522,0.3897,1
0.8265,0.7688,0.5820,0.4380,0.6421,1
0.0478,0.6425,0.5554,0.1141,0.5007,0
0.6597,0.5603,0.3713,0.4077,0.1781,1
0.2582,0.8509,0.4431,0.1645,0.4502,0
0.4788,0.4137,0.0671,0.7658,0.4021,1
0.8552,0.7070,0.6362,0.3241,0.5685,1
0.4291,0.7343,0.4450,0.8222,0.3221,1
0.2860,0.8587,0.7696,0.3659,0.7543,0
0.2876,0.5162,0.1370,0.1535,0.1261,0
0.3635,0.2101,0.0446,0.4803,0.9486,1
0.9971,0.8320,0.6023,0.4502,0.3034,1
0.7481,0.3409,0.7410,0.6992,0.9597,1
0.0723,0.1915,0.6915,0.6054,0.2719,0
0.0120,0.0229,0.1350,0.9648,0.9001,1
0.7458,0.9908,0.6163,0.1024,0.8170,0
0.6833,0.3316,0.1191,0.5052,0.0382,1
0.4594,0.9095,0.7587,0.4533,0.2279,0
0.8778,0.5135,0.5396,0.3344,0.7677,1
0.8953,0.3005,0.4397,0.8478,0.0759,1
0.1295,0.2341,0.0017,0.3295,0.1405,0
0.5867,0.1888,0.6614,0.0679,0.8496,0
0.1735,0.0391,0.2173,0.2703,0.2970,0
0.1121,0.6021,0.9910,0.3843,0.8630,0
0.2781,0.1976,0.8357,0.3163,0.0398,0
0.7753,0.6498,0.8464,0.4498,0.5234,1
0.1901,0.6360,0.2551,0.7936,0.0789,1
0.9449,0.9629,0.4258,0.8755,0.2032,1
0.0967,0.4127,0.4843,0.7308,0.1537,1
0.5258,0.9347,0.3663,0.4597,0.5964,1
0.0367,0.2143,0.9654,0.4926,0.5543,0
0.6969,0.9307,0.4594,0.5261,0.1279,1
0.0630,0.5747,0.8144,0.5641,0.9656,0
0.5453,0.6537,0.1950,0.2738,0.3019,1
0.3956,0.6925,0.6676,0.5219,0.1950,1
0.8738,0.0639,0.8216,0.0191,0.6453,0
0.3008,0.3531,0.7113,0.1690,0.3933,0
0.5405,0.1373,0.8423,0.5617,0.1299,0
0.9207,0.5426,0.9797,0.3775,0.2493,0
0.5496,0.0052,0.0165,0.1777,0.9327,0
0.8670,0.0711,0.8305,0.2489,0.5802,0
0.0265,0.0128,0.5758,0.6552,0.3249,0
0.4382,0.9886,0.6891,0.8078,0.4451,1
0.8742,0.7640,0.3102,0.2137,0.7751,1
0.9702,0.2753,0.6285,0.2600,0.5980,1
0.0391,0.6026,0.4218,0.8654,0.1883,1
0.3363,0.8235,0.8339,0.1950,0.3432,0
0.0767,0.9295,0.0285,0.6197,0.1509,1
0.0473,0.7437,0.7427,0.6304,0.7900,1
0.6070,0.1287,0.8988,0.1039,0.3986,0
0.8191,0.6706,0.9293,0.3536,0.3089,0
0.1079,0.1010,0.4017,0.0046,0.6818,0
0.9868,0.0982,0.3441,0.9133,0.6207,1
0.6762,0.9632,0.3966,0.0394,0.7130,1
0.0248,0.7703,0.1068,0.7747,0.5114,1
0.4940,0.0061,0.9138,0.7162,0.3138,0
0.9414,0.1819,0.8755,0.8325,0.7375,1
0.7043,0.2176,0.7464,0.8829,0.8759,1
0.3482,0.6646,0.4210,0.2434,0.4058,0
0.3934,0.4652,0.3278,0.6345,0.1504,1
0.3676,0.9224,0.9129,0.9727,0.7901,1
0.7524,0.6814,0.0120,0.7379,0.6743,1
0.4776,0.4742,0.6101,0.2332,0.9679,1
0.3447,0.2422,0.1975,0.4053,0.8830,0
0.9983,0.4714,0.2352,0.3717,0.5166,1
0.4147,0.0094,0.4929,0.1295,0.8973,0
0.3877,0.7340,0.7795,0.3635,0.3406,0
0.2939,0.5766,0.1660,0.0061,0.9104,0
0.2738,0.6445,0.5010,0.8119,0.4979,1
0.9339,0.6105,0.2098,0.5799,0.8282,1
0.3751,0.9878,0.7551,0.8785,0.4421,1
0.8272,0.7451,0.3003,0.0046,0.0609,0
0.6713,0.9560,0.0563,0.5000,0.7020,1
0.5097,0.3205,0.5980,0.7281,0.9003,1
0.1391,0.6522,0.3620,0.6648,0.2408,0
0.2472,0.1464,0.1237,0.8368,0.8518,1
0.1291,0.2151,0.3345,0.1632,0.9582,0
0.1568,0.1835,0.1734,0.6393,0.8928,1
0.4778,0.3193,0.1527,0.0063,0.5575,0
0.8046,0.4504,0.5126,0.6676,0.1809,1
0.7397,0.8483,0.5804,0.5090,0.1856,1
0.2505,0.4095,0.9302,0.7039,0.7681,0
0.7156,0.6677,0.9191,0.8933,0.1962,1
0.2863,0.9117,0.7755,0.3948,0.9783,0
0.7485,0.4290,0.6665,0.2957,0.8532,1
0.3695,0.8430,0.2275,0.8863,0.3937,1
0.4868,0.7017,0.8762,0.2153,0.7608,0
0.3424,0.3750,0.2810,0.0924,0.6941,0
0.0805,0.7796,0.5103,0.4842,0.4300,1
0.0031,0.2446,0.5835,0.8335,0.8465,0
0.1538,0.1595,0.6175,0.7558,0.8134,0
0.8777,0.1402,0.5986,0.5109,0.8924,1
0.1296,0.7220,0.5973,0.0524,0.9487,0
0.5475,0.8644,0.5504,0.8632,0.0987,1
0.3866,0.2368,0.2821,0.5984,0.0555,1
